14, 19
37, 7
45, 10
56, 19
59, 13
62, 18
66, 12
72, 7
71, 22
86, 8
101, 14
106, 13
104, 25
114, 13
117, 13
114, 3
173, 7
185, 15
24, 34
29, 40
37, 30
39, 37
38, 50
40, 62
56, 43
58, 50
60, 52
70, 35
67, 59
78, 44
83, 56
89, 58
120, 37
118, 52
129, 35
138, 46
129, 65
124, 68
162, 25
164, 32
182, 31
183, 49
164, 62
194, 45
201, 43
199, 48
198, 57
204, 54
206, 60
215, 57
216, 44
213, 62
23, 72
16, 82
38, 95
59, 78
68, 86
64, 90
66, 91
83, 84
98, 106
117, 104
117, 106
131, 115
122, 118
132, 83
143, 76
151, 71
168, 79
172, 82
189, 88
200, 82
203, 92
197, 106
193, 108
191, 106
181, 112
152, 114
157, 116
163, 118
155, 143
192, 138
214, 144
194, 165
9, 120
12, 123
28, 124
31, 140
34, 132
39, 132
38, 113
44, 113
47, 119
54, 112
54, 120
60, 125
50, 144
82, 117
81, 120
96, 129
76, 158
86, 156
91, 159
131, 143
131, 159
130, 164
142, 169
129, 177
121, 175
154, 166
163, 158
166, 157
173, 154
171, 168
196, 176
216, 175
215, 179
218, 185
203, 197
200, 206
205, 208
207, 206
194, 211
172, 217
164, 218
159, 221
169, 200
169, 200
146, 219
146, 223
154, 204
145, 202
147, 187
140, 185
130, 218
112, 196
112, 188
108, 189
100, 166
92, 176
91, 172
86, 173
71, 183
65, 188
34, 158
30, 165
21, 173
28, 147
22, 149
17, 141
12, 143
4, 147
24, 188
24, 194
21, 216
22, 227
30, 213
37, 224
49, 221
60, 219
63, 221
62, 216
62, 216
64, 213
72, 199
83, 213
84, 223
91, 226
125, 229
203, 93
233, 3
261, 13
274, 1
284, 4
277, 8
278, 16
318, 13
320, 19
348, 6
405, 17
412, 25
422, 11
237, 50
242, 33
254, 24
257, 24
259, 38
257, 58
270, 40
284, 34
294, 30
300, 39
312, 41
302, 51
331, 39
332, 35
344, 48
351, 30
358, 26
364, 31
355, 50
359, 54
379, 56
397, 33
397, 46
409, 40
420, 58
434, 58
432, 63
442, 61
232, 69
234, 68
237, 72
246, 68
241, 78
235, 92
267, 70
278, 63
281, 66
295, 87
307, 73
323, 68
313, 78
316, 93
326, 90
330, 79
358, 94
383, 88
388, 77
396, 72
424, 71
393, 86
399, 93
418, 88
424, 88
429, 87
442, 74
238, 132
300, 122
297, 126
295, 128
306, 134
312, 129
317, 118
323, 122
348, 98
362, 108
350, 108
351, 113
356, 113
353, 122
356, 127
361, 125
379, 124
385, 105
385, 127
392, 119
392, 122
404, 109
404, 137
419, 123
431, 103
430, 109
438, 122
313, 149
307, 159
326, 159
330, 151
330, 155
346, 151
346, 157
350, 153
371, 148
384, 168
377, 179
369, 181
392, 178
398, 177
407, 169
414, 145
440, 148
440, 204
428, 217
403, 226
402, 227
399, 225
404, 219
382, 224
390, 214
391, 212
389, 195
377, 197
364, 211
358, 207
352, 200
346, 197
341, 200
328, 197
326, 184
325, 180
297, 195
287, 189
261, 175
264, 165
256, 160
237, 166
231, 178
240, 204
254, 195
243, 223
259, 228
261, 226
284, 213
284, 220
294, 220
300, 206
298, 209
302, 210
349, 219
243, 222
235, 232
284, 219
293, 220
278, 232
283, 236
302, 230
298, 241
308, 241
311, 236
334, 243
343, 232
348, 219
354, 239
359, 239
358, 242
369, 261
387, 241
393, 258
394, 266
407, 274
412, 271
413, 274
419, 266
436, 257
441, 284
382, 223
405, 219
399, 225
400, 227
403, 226
405, 239
408, 244
425, 246
443, 247
440, 249
235, 232
261, 251
265, 267
268, 261
271, 260
282, 260
279, 261
279, 264
290, 254
290, 275
315, 247
325, 256
312, 259
291, 275
307, 286
329, 281
342, 277
336, 273
342, 291
345, 270
349, 270
359, 263
362, 269
364, 276
369, 278
358, 296
361, 298
380, 285
388, 284
375, 307
382, 310
397, 287
396, 302
398, 315
402, 311
405, 310
425, 313
425, 319
442, 319
439, 376
433, 368
442, 365
427, 339
416, 349
405, 353
413, 323
387, 332
384, 332
371, 334
364, 335
344, 337
349, 328
362, 314
353, 310
350, 306
344, 310
325, 294
332, 302
319, 323
287, 282
288, 292
272, 307
266, 310
261, 293
246, 269
243, 283
233, 282
231, 315
228, 337
231, 336
233, 344
237, 345
241, 336
242, 318
247, 315
268, 333
270, 331
277, 327
294, 326
293, 328
281, 347
278, 353
293, 355
314, 340
315, 344
307, 363
331, 344
340, 345
352, 358
355, 366
362, 366
357, 385
372, 382
403, 367
399, 384
418, 382
430, 381
434, 401
430, 407
431, 410
443, 414
438, 423
428, 421
426, 430
417, 430
391, 415
394, 409
390, 401
383, 409
375, 417
362, 415
367, 404
355, 392
345, 384
350, 405
348, 411
332, 415
330, 397
330, 380
325, 384
311, 394
301, 401
298, 385
307, 378
310, 373
288, 368
285, 387
280, 383
281, 397
275, 388
265, 385
266, 359
251, 376
252, 353
250, 349
243, 353
244, 388
246, 391
232, 368
229, 355
233, 394
227, 402
229, 403
231, 417
239, 429
244, 403
247, 422
250, 425
248, 428
262, 428
264, 410
264, 404
267, 398
273, 419
278, 426
287, 440
302, 440
305, 423
325, 438
333, 440
333, 442
336, 426
340, 428
346, 429
375, 442
399, 442
417, 429
426, 429
227, 402
9, 240
7, 260
21, 227
36, 224
49, 221
59, 219
63, 220
56, 229
68, 228
79, 237
84, 224
90, 226
95, 238
111, 246
116, 231
125, 229
129, 218
146, 219
147, 223
138, 233
142, 253
156, 241
152, 245
158, 252
159, 264
159, 268
158, 221
164, 218
173, 218
170, 230
184, 236
185, 281
193, 246
197, 248
202, 232
199, 237
203, 244
222, 235
220, 266
224, 269
9, 240
7, 258
41, 237
48, 236
46, 244
43, 262
45, 264
33, 269
66, 249
83, 250
67, 283
77, 274
78, 277
86, 271
92, 276
85, 283
86, 286
99, 281
99, 287
109, 296
121, 295
129, 291
127, 280
132, 283
131, 272
123, 267
143, 300
155, 283
158, 284
162, 276
156, 291
143, 300
161, 314
163, 304
170, 313
176, 297
186, 302
179, 313
183, 323
190, 330
200, 330
203, 328
203, 309
211, 321
211, 317
215, 304
209, 296
227, 337
9, 302
33, 295
29, 306
31, 309
37, 306
43, 303
51, 310
63, 304
85, 293
99, 300
104, 307
99, 310
88, 330
92, 329
97, 326
103, 321
126, 345
137, 316
156, 324
156, 356
167, 352
172, 347
170, 321
173, 323
182, 331
186, 337
188, 341
192, 351
199, 338
211, 340
212, 347
203, 373
209, 373
20, 350
25, 342
28, 333
28, 329
36, 349
36, 349
45, 353
70, 336
73, 344
53, 365
84, 359
87, 366
105, 359
108, 372
118, 376
141, 367
130, 391
133, 381
138, 386
136, 393
141, 392
151, 387
163, 388
164, 389
167, 397
174, 381
174, 403
183, 398
182, 398
188, 378
189, 403
203, 394
215, 387
210, 398
205, 404
208, 403
210, 415
212, 419
223, 411
226, 417
214, 433
211, 435
200, 440
201, 430
188, 428
194, 414
161, 429
125, 419
136, 411
138, 400
113, 418
110, 403
99, 393
98, 388
96, 386
83, 392
66, 381
56, 384
56, 396
59, 398
46, 399
24, 388
23, 385
24, 435
29, 430
28, 412
32, 428
34, 426
46, 414
80, 437
120, 193
221, 121
266, 127
277, 130
269, 146
283, 146
90, 203
84, 200
148, 374
49, 32
327, 211
15, 19
